folder,icaos_in_name
fs24-asobo-passiveaircraft-c320family,SIVE|FAMI
fs24-asobo-passiveaircraft-c337family,SIVE|FAMI
fs24-asobo-passiveaircraft-c340,SIVE
fs24-asobo-passiveaircraft-c402family,SIVE|FAMI
fs24-asobo-passiveaircraft-c411,SIVE
fs24-asobo-passiveaircraft-c421family,SIVE|FAMI
fs24-asobo-passiveaircraft-c441,SIVE
fs24-asobo-passiveaircraft-citation-cj1family,SIVE|FAMI
fs24-asobo-passiveaircraft-citation-cj2family,SIVE|FAMI
fs24-asobo-passiveaircraft-citation-cj3,SIVE
fs24-asobo-passiveaircraft-citation-cj4,SIVE
fs24-asobo-passiveaircraft-citation-i,SIVE
fs24-asobo-passiveaircraft-citation-ii,SIVE
fs24-asobo-passiveaircraft-citation-iiifamily,SIVE|FAMI
fs24-asobo-passiveaircraft-citation-latitude,LATI|SIVE
fs24-asobo-passiveaircraft-citation-longitude,SIVE
fs24-asobo-passiveaircraft-citation-mustang,SIVE
fs24-asobo-passiveaircraft-citation-sovereign,EIGN|SIVE
fs24-asobo-passiveaircraft-citation-v,SIVE
fs24-asobo-passiveaircraft-citation-x,SIVE
fs24-asobo-passiveaircraft-citation-xls,SIVE
fs24-asobo-passiveaircraft-co1,SIVE
fs24-asobo-passiveaircraft-da20,SIVE
fs24-asobo-passiveaircraft-da40family,SIVE|FAMI
fs24-asobo-passiveaircraft-da42,SIVE
fs24-asobo-passiveaircraft-da62,SIVE
fs24-asobo-passiveaircraft-dg1001,SIVE
fs24-asobo-passiveaircraft-dhc8family,SIVE|FAMI
fs24-asobo-passiveaircraft-djet,SIVE
fs24-asobo-passiveaircraft-e2,SIVE
fs24-asobo-passiveaircraft-e330,SIVE
fs24-asobo-passiveaircraft-eagle,SIVE
fs24-asobo-passiveaircraft-ejet-190e2,SIVE
fs24-asobo-passiveaircraft-ejet-195e2,SIVE
fs24-asobo-passiveaircraft-ejet170family,SIVE|FAMI
fs24-asobo-passiveaircraft-ejet190family,SIVE|FAMI
fs24-asobo-passiveaircraft-erjfamily,SIVE|FAMI|RJFA
fs24-asobo-passiveaircraft-fa18,SIVE
fs24-asobo-passiveaircraft-generic-airliner-2eng,SIVE
fs24-asobo-passiveaircraft-generic-airliner-4eng,SIVE
fs24-asobo-passiveaircraft-generic-glider,LIDE|SIVE
fs24-asobo-passiveaircraft-generic-hab,SIVE
fs24-asobo-passiveaircraft-generic-helicopter,SIVE
fs24-asobo-passiveaircraft-generic-jet-2eng,SIVE
fs24-asobo-passiveaircraft-generic-piston-1eng,SIVE
fs24-asobo-passiveaircraft-generic-piston-2eng,SIVE
fs24-asobo-passiveaircraft-generic-turbo-1eng,SIVE
fs24-asobo-passiveaircraft-generic-turbo-2eng,SIVE
fs24-asobo-passiveaircraft-husky,SIVE
fs24-asobo-passiveaircraft-kingairfamily,SIVE|FAMI
fs24-asobo-passiveaircraft-kodiak,SIVE
fs24-asobo-passiveaircraft-legacy500,SIVE|LEGA|EGAC
fs24-asobo-passiveaircraft-m7family,SIVE|FAMI
fs24-asobo-passiveaircraft-md10family,SIVE|FAMI
fs24-asobo-passiveaircraft-md80family,SIVE|FAMI
fs24-asobo-passiveaircraft-p2002,SIVE
fs24-asobo-passiveaircraft-p2004,SIVE
fs24-asobo-passiveaircraft-p2006,SIVE
